"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HDFC","EQ","27-Mar-2019","       1946.30","       1955.55","       1959.00","       1906.00","       1914.10","       1919.90","       1937.71","    3076446","          5961252848.45","     161822"
"HDFC","EQ","28-Mar-2019","       1919.90","       1917.00","       1950.00","       1912.05","       1942.10","       1944.45","       1942.93","    6370987","         12378364073.70","     151893"
"HDFC","EQ","29-Mar-2019","       1944.45","       1950.05","       1972.25","       1936.05","       1964.00","       1968.25","       1956.38","    4320179","          8451924565.10","     148642"
"HDFC","EQ","01-Apr-2019","       1968.25","       1968.10","       1975.00","       1945.05","       1951.00","       1959.65","       1960.06","    3328552","          6524154342.30","     168073"
"HDFC","EQ","02-Apr-2019","       1959.65","       1966.10","       2001.00","       1955.00","       1998.95","       1995.95","       1979.73","    3655232","          7236387287.35","     159005"
"HDFC","EQ","03-Apr-2019","       1995.95","       2004.00","       2032.45","       1997.15","       2008.75","       2013.10","       2019.73","    4345772","          8777270099.25","     109651"
"HDFC","EQ","04-Apr-2019","       2013.10","       2008.00","       2058.80","       2006.30","       2041.90","       2042.05","       2037.46","    4463212","          9093604102.20","     154293"
"HDFC","EQ","05-Apr-2019","       2042.05","       2045.00","       2065.00","       2035.00","       2064.50","       2059.20","       2055.28","    2576789","          5296022746.25","     125822"
"HDFC","EQ","08-Apr-2019","       2059.20","       2068.00","       2072.50","       2029.25","       2052.00","       2054.90","       2048.64","    2057768","          4215626440.20","     114354"
"HDFC","EQ","09-Apr-2019","       2054.90","       2062.50","       2073.00","       2039.15","       2067.00","       2069.15","       2057.72","    2381281","          4900013035.60","     162102"
"HDFC","EQ","10-Apr-2019","       2069.15","       2067.50","       2068.00","       2025.10","       2029.95","       2029.25","       2038.39","    3036356","          6189266954.15","     151203"
"HDFC","EQ","11-Apr-2019","       2029.25","       2028.00","       2048.00","       2017.50","       2018.10","       2022.80","       2029.46","    2521729","          5117742167.55","     160208"
"HDFC","EQ","12-Apr-2019","       2022.80","       2024.00","       2029.90","       2008.10","       2023.00","       2024.95","       2020.07","    2121821","          4286232969.10","     102234"
"HDFC","EQ","15-Apr-2019","       2024.95","       2034.90","       2034.90","       2010.00","       2012.00","       2014.25","       2019.10","    1333222","          2691910100.35","      76176"
"HDFC","EQ","16-Apr-2019","       2014.25","       2019.70","       2034.30","       2016.10","       2027.20","       2026.70","       2025.80","    2000314","          4052235623.05","     166866"
"HDFC","EQ","18-Apr-2019","       2026.70","       2040.00","       2047.90","       1998.15","       2005.00","       2003.75","       2013.04","    3888701","          7828095429.40","     175404"
"HDFC","EQ","22-Apr-2019","       2003.75","       2005.00","       2010.00","       1948.00","       1958.50","       1953.90","       1970.41","    2002662","          3946055518.20","      80677"
"HDFC","EQ","23-Apr-2019","       1953.90","       1958.00","       1966.25","       1929.60","       1930.00","       1934.70","       1944.34","    2848980","          5539373188.30","     109800"
"HDFC","EQ","24-Apr-2019","       1934.70","       1943.90","       1985.00","       1933.25","       1984.70","       1980.40","       1958.44","    2758373","          5402102935.80","     115391"
