Symbol,Series,Date,Prev Close,Adj_Open,Adj_High,Adj_Low,Last Price,Adj_Close,Average Price,Total Traded Quantity,Turnover,Adj_Volume
RELIANCE,EQ,02-Apr-19,1391.85,1398,1403.1,1380.1,1388.2,1389.7,1390.35,8012636,11140373758,168893
RELIANCE,EQ,03-Apr-19,1389.7,1392.75,1403,1372,1374.6,1375.2,1390.2,7849461,10912295747,169662
RELIANCE,EQ,04-Apr-19,1375.2,1379,1383.7,1347.25,1354.5,1353.05,1360.64,8375674,11396256161,177047
RELIANCE,EQ,05-Apr-19,1353.05,1360.95,1363.9,1343,1355.85,1353.9,1352.52,6728239,9100090312,131955
RELIANCE,EQ,08-Apr-19,1353.9,1356,1357.5,1323.7,1328,1329.25,1335.09,8723577,11646734561,216174
RELIANCE,EQ,09-Apr-19,1329.25,1328.9,1340.7,1321,1338,1334.45,1330.46,9497621,12636159791,202524
RELIANCE,EQ,10-Apr-19,1334.45,1337.95,1348,1326.5,1331,1331.4,1337.99,7612711,10185730758,152322
RELIANCE,EQ,11-Apr-19,1331.4,1332.95,1353,1329,1350,1346.8,1338.41,5741333,7684265512,139852
RELIANCE,EQ,12-Apr-19,1346.8,1350,1356.9,1336.65,1340,1343.1,1346.08,5919742,7968461251,147697
RELIANCE,EQ,15-Apr-19,1343.1,1345,1348.95,1335,1339,1340.15,1341.32,4245127,5694089312,90689
RELIANCE,EQ,16-Apr-19,1340.15,1345,1360,1340,1345,1343.75,1349.7,7936553,10711981440,199659
RELIANCE,EQ,18-Apr-19,1343.75,1375,1389.75,1365,1386.05,1385.95,1379.51,17960482,24776645490,337505
RELIANCE,EQ,22-Apr-19,1385.95,1360,1367,1341.3,1344,1345.35,1353.82,10792748,14611422111,289829
RELIANCE,EQ,23-Apr-19,1345.35,1348,1373,1346,1364.65,1363.85,1362.98,9055300,12342230169,183025
RELIANCE,EQ,24-Apr-19,1363.85,1370.3,1394.8,1366.25,1389.5,1389.5,1379.35,7360887,10153225468,182147
RELIANCE,EQ,25-Apr-19,1389.5,1389.1,1412.4,1362.6,1370,1372.4,1391.77,13929820,19387122710,275583
RELIANCE,EQ,26-Apr-19,1372.4,1375,1395.95,1370.7,1392,1392.8,1383.98,6889444,9534854406,160625
RELIANCE,EQ,30-Apr-19,1392.8,1396.4,1396.4,1366.8,1392.45,1392.8,1384.81,10217019,14148587975,210909
RELIANCE,EQ,02-May-19,1392.8,1392,1413.9,1382.1,1403.1,1405.05,1402.33,8682505,12175759294,203263
RELIANCE,EQ,03-May-19,1405.05,1407.95,1417.5,1402.65,1409.9,1408.85,1412.19,6510169,9193624810,174995
RELIANCE,EQ,06-May-19,1408.85,1398,1402.8,1378.1,1382.95,1384.9,1392.39,7237910,10078024781,151864
RELIANCE,EQ,07-May-19,1384.9,1394.8,1395,1340.2,1341,1343.5,1361.64,8877095,12087393002,214252
RELIANCE,EQ,08-May-19,1343.5,1340,1340,1292.2,1297.75,1299.45,1313.1,14610543,19185103692,354813
RELIANCE,EQ,09-May-19,1299.45,1288.8,1288.8,1251.75,1253.15,1256.45,1265.1,19507368,24678759802,389079
RELIANCE,EQ,10-May-19,1256.45,1265,1277.7,1245,1245.75,1251.15,1263.56,11226831,14185772329,231193
RELIANCE,EQ,13-May-19,1251.15,1247.9,1260.8,1227.5,1229.9,1232.05,1246.96,8047801,10035248863,165987
RELIANCE,EQ,14-May-19,1232.05,1236.5,1269.35,1231.5,1267,1260.45,1252.66,13001004,16285800117,237275
RELIANCE,EQ,15-May-19,1260.45,1273,1278,1250.6,1256,1256.9,1269.53,11163801,14172762818,199165
RELIANCE,EQ,16-May-19,1256.9,1259.95,1271.9,1258.1,1269.2,1265.35,1264.7,6606652,8355421933,165495
RELIANCE,EQ,17-May-19,1265.35,1267,1276.95,1252,1269,1267.4,1268.85,7898440,10021920301,153297
RELIANCE,EQ,20-May-19,1267.4,1313.6,1337.7,1303.5,1328.55,1325.9,1319.23,12333937,16271303255,291230
RELIANCE,EQ,21-May-19,1325.9,1332.2,1367,1330.05,1339.9,1339.8,1348,13872055,18699517120,294207
RELIANCE,EQ,22-May-19,1339.8,1345.65,1359.7,1335.1,1344,1340.4,1345.18,11287400,15183604297,210505
RELIANCE,EQ,23-May-19,1340.4,1372,1392,1325,1336,1333.9,1364.45,17722514,24181412650,328622
RELIANCE,EQ,24-May-19,1333.9,1348,1353.8,1316.5,1338,1336.85,1334.73,10180759,13588548475,237096
RELIANCE,EQ,27-May-19,1336.85,1337.1,1337.5,1307,1313.2,1310.65,1322.83,7349720,9722442982,161412
RELIANCE,EQ,28-May-19,1310.65,1319.8,1334.8,1313.35,1330,1323.75,1323.88,19472659,25779560282,327818
RELIANCE,EQ,29-May-19,1323.75,1321,1333.3,1304.15,1315.6,1313.05,1321.09,7112830,9396655635,183211
RELIANCE,EQ,30-May-19,1313.05,1316.25,1342,1316.25,1330,1329.75,1329.55,10740841,14280455588,198892
RELIANCE,EQ,31-May-19,1329.75,1337.9,1341.9,1320.2,1330.1,1330.15,1330.68,11760178,15649085826,203751
RELIANCE,EQ,03-Jun-19,1330.15,1335,1367.25,1321.2,1364,1360.2,1344.47,8483610,11405935738,168454
RELIANCE,EQ,04-Jun-19,1360.2,1357.45,1374.25,1348.1,1353,1351.65,1358.17,7059911,9588561365,167875
RELIANCE,EQ,06-Jun-19,1351.65,1361.9,1361.9,1321.1,1326.15,1327.35,1335.47,7664319,10235481154,199549
RELIANCE,EQ,07-Jun-19,1327.35,1325.95,1327.25,1305.6,1311,1314.9,1314.55,6730595,8847672553,180263
RELIANCE,EQ,10-Jun-19,1314.9,1320.9,1327,1310.1,1320.5,1319.15,1319.5,5380148,7099110100,151279
RELIANCE,EQ,11-Jun-19,1319.15,1321.85,1334.5,1318,1329.55,1329.15,1327.51,5253790,6974448670,136433
RELIANCE,EQ,12-Jun-19,1329.15,1334.7,1338.4,1325,1333.2,1332.15,1332.57,4707716,6273369872,125940
RELIANCE,EQ,13-Jun-19,1332.15,1330,1334.7,1308.65,1323.65,1327.25,1322.47,7171189,9483684625,190475
RELIANCE,EQ,14-Jun-19,1327.25,1321.9,1325,1309.4,1320,1317.55,1316.01,6831331,8990093262,153945
RELIANCE,EQ,17-Jun-19,1317.55,1320,1320,1278.5,1282.25,1282.3,1291.9,6815554,8805027721,180983
RELIANCE,EQ,18-Jun-19,1282.3,1278.9,1287.95,1269.1,1278.5,1281,1279.9,7679193,9828580500,176329
RELIANCE,EQ,19-Jun-19,1281,1286.9,1302,1262.6,1282,1277.35,1284.31,6625604,8509322280,179058
RELIANCE,EQ,20-Jun-19,1277.35,1280,1300,1278,1299.9,1296.75,1288.38,4914012,6331138795,120935
RELIANCE,EQ,21-Jun-19,1296.75,1295.95,1296,1275.55,1278.7,1279.5,1282.04,10623098,13619185209,153633
RELIANCE,EQ,24-Jun-19,1279.5,1272.15,1276.45,1257.1,1261.85,1262.4,1264.03,5150998,6511020817,149137
RELIANCE,EQ,25-Jun-19,1262.4,1258.9,1298,1254.25,1295.4,1295.85,1281.36,6842363,8767510683,157350
RELIANCE,EQ,26-Jun-19,1295.85,1291,1304.6,1286.35,1291.9,1294.15,1295.88,5299942,6868096872,137376
